year,site,quad,patch,benthic_category,percent_cover
2005,1,9,2,macroalgae,0
2005,1,9,2,millepora,24
2005,1,9,2,sand,0
2005,1,9,2,turf,0
2005,1,9,2,coral,16
2005,1,1,3,macroalgae,4
2005,1,1,3,millepora,0
2005,1,1,3,coral,56
2005,1,1,3,turf,0
2005,1,1,3,sand,0
2005,1,1,3,cb,40
2005,1,10,3,macroalgae,4
2005,1,10,3,turf,0
2005,1,10,3,coral,72
2005,1,10,3,sand,20
2005,1,10,3,cb,4
2005,1,10,3,millepora,0
2005,1,11,3,cb,0
2005,1,11,3,turf,12
2005,1,11,3,coral,88
2005,1,11,3,sand,0
2005,1,11,3,millepora,0
2005,1,11,3,macroalgae,0
2005,1,12,3,coral,44
2005,1,12,3,sand,0
2005,1,12,3,cb,32
2005,1,12,3,turf,4
2005,1,12,3,macroalgae,20
2005,1,12,3,millepora,0
2005,1,13,3,cb,48
2005,1,13,3,coral,44
2005,1,13,3,sand,0
2005,1,13,3,macroalgae,8
2005,1,13,3,turf,0
2005,1,13,3,millepora,0
2005,1,14,3,cb,56
2005,1,14,3,millepora,0
2005,1,14,3,coral,12
2005,1,14,3,sand,0
2005,1,14,3,macroalgae,32
2005,1,14,3,turf,0
2005,1,15,3,sand,8
2005,1,15,3,cb,76
2005,1,15,3,millepora,0
2005,1,15,3,macroalgae,0
2005,1,15,3,turf,12
2005,1,15,3,coral,4
2005,1,16,3,turf,0
2005,1,16,3,coral,72
2005,1,16,3,macroalgae,12
2005,1,16,3,millepora,0
2005,1,16,3,sand,4
2005,1,16,3,cb,12
2005,1,17,3,macroalgae,0
2005,1,17,3,turf,0
2005,1,17,3,cb,76
2005,1,17,3,millepora,0
2005,1,17,3,coral,24
2005,1,17,3,sand,0
2005,1,18,3,cb,48
2005,1,18,3,macroalgae,0
2005,1,18,3,turf,4
2005,1,18,3,millepora,0
2005,1,18,3,sand,0
2005,1,18,3,coral,48
2005,1,19,3,millepora,0
2005,1,19,3,coral,4
2005,1,19,3,macroalgae,0
2005,1,19,3,cb,96
2005,1,19,3,turf,0
2005,1,19,3,sand,0
2005,1,2,3,turf,0
2005,1,2,3,macroalgae,0
2005,1,2,3,coral,92
2005,1,2,3,millepora,0
2005,1,2,3,sand,0
2005,1,2,3,cb,8
2005,1,20,3,macroalgae,0
2005,1,20,3,turf,44
2005,1,20,3,sand,0
2005,1,20,3,coral,4
2005,1,20,3,millepora,0
2005,1,20,3,cb,52
2005,1,3,3,cb,36
2005,1,3,3,turf,0
2005,1,3,3,millepora,0
2005,1,3,3,coral,60
2005,1,3,3,sand,0
2005,1,3,3,macroalgae,4
2005,1,4,3,turf,0
2005,1,4,3,coral,48
2005,1,4,3,millepora,0
2005,1,4,3,macroalgae,0
2005,1,4,3,cb,52
2005,1,4,3,sand,0
2005,1,5,3,cb,100
2005,1,5,3,coral,0
2005,1,5,3,turf,0
2005,1,5,3,millepora,0
2005,1,5,3,sand,0
2005,1,5,3,macroalgae,0
2005,1,6,3,cb,4
2005,1,6,3,coral,96
2005,1,6,3,sand,0
2005,1,6,3,millepora,0
2005,1,6,3,macroalgae,0
2005,1,6,3,turf,0
2005,1,7,3,turf,0
2005,1,7,3,millepora,0
2005,1,7,3,macroalgae,4
2005,1,7,3,sand,0
2005,1,7,3,cb,20
2005,1,7,3,coral,76
2005,1,8,3,macroalgae,4
2005,1,8,3,sand,0
2005,1,8,3,turf,0
2005,1,8,3,millepora,0
2005,1,8,3,cb,0
2005,1,8,3,coral,96
2005,1,9,3,turf,0
2005,1,9,3,cb,12
2005,1,9,3,millepora,0
2005,1,9,3,macroalgae,0
2005,1,9,3,sand,88
2005,1,9,3,coral,0
2005,1,1,4,turf,0
2005,1,1,4,coral,0
2005,1,1,4,sand,96
2005,1,1,4,millepora,0
2005,1,1,4,cb,4
2005,1,1,4,macroalgae,0
2005,1,10,4,turf,0
2005,1,10,4,sand,28
2005,1,10,4,coral,32
2005,1,10,4,macroalgae,0
2005,1,10,4,millepora,0
2005,1,10,4,cb,40
2005,1,11,4,cb,88
2005,1,11,4,coral,4
2005,1,11,4,turf,0
2005,1,11,4,macroalgae,0
2005,1,11,4,millepora,0
2005,1,11,4,sand,8
2005,1,12,4,macroalgae,0
2005,1,12,4,millepora,0
2005,1,12,4,cb,20
2005,1,12,4,turf,0
2005,1,12,4,coral,80
2005,1,12,4,sand,0
2005,1,13,4,cb,36
2005,1,13,4,coral,52
2005,1,13,4,macroalgae,12
2005,1,13,4,turf,0
2005,1,13,4,millepora,0
2005,1,13,4,sand,0
2005,1,14,4,turf,0
2005,1,14,4,coral,28
2005,1,14,4,macroalgae,0
2005,1,14,4,cb,56
2005,1,14,4,sand,16
2005,1,14,4,millepora,0
2005,1,15,4,coral,0
2005,1,15,4,sand,84
2005,1,15,4,macroalgae,0
2005,1,15,4,millepora,0
2005,1,15,4,cb,16
2005,1,15,4,turf,0
2005,1,16,4,cb,12
2005,1,16,4,turf,80
2005,1,16,4,millepora,0
2005,1,16,4,macroalgae,0
2005,1,16,4,coral,0
2005,1,16,4,sand,8
2005,1,17,4,coral,0
2005,1,17,4,cb,80
2005,1,17,4,turf,0
2005,1,17,4,millepora,0
2005,1,17,4,sand,15
2005,1,17,4,macroalgae,5
2005,1,18,4,millepora,0
2005,1,18,4,coral,4
2005,1,18,4,turf,0
2005,1,18,4,macroalgae,0
2005,1,18,4,cb,28
2005,1,18,4,sand,68
2005,1,19,4,millepora,0
2005,1,19,4,macroalgae,0
2005,1,19,4,coral,28
2005,1,19,4,cb,40
2005,1,19,4,turf,0
2005,1,19,4,sand,32
2005,1,2,4,sand,100
2005,1,2,4,millepora,0
2005,1,2,4,macroalgae,0
2005,1,2,4,turf,0
2005,1,2,4,cb,0
2005,1,2,4,coral,0
2005,1,20,4,sand,24
2005,1,20,4,coral,32
2005,1,20,4,macroalgae,16
2005,1,20,4,cb,28
2005,1,20,4,millepora,0
2005,1,20,4,turf,0
2005,1,3,4,macroalgae,0
2005,1,3,4,coral,32
2005,1,3,4,turf,0
2005,1,3,4,sand,56
2005,1,3,4,cb,12
2005,1,3,4,millepora,0
2005,1,4,4,cb,44
2005,1,4,4,coral,4
2005,1,4,4,sand,52
2005,1,4,4,turf,0
2005,1,4,4,macroalgae,0
2005,1,4,4,millepora,0
2005,1,5,4,cb,24
2005,1,5,4,coral,0
2005,1,5,4,turf,0
2005,1,5,4,macroalgae,0
2005,1,5,4,millepora,0
2005,1,5,4,sand,76
2005,1,6,4,macroalgae,0
2005,1,6,4,cb,88
2005,1,6,4,sand,12
2005,1,6,4,turf,0
2005,1,6,4,millepora,0
2005,1,6,4,coral,0
2005,1,7,4,macroalgae,0
2005,1,7,4,sand,92
2005,1,7,4,coral,8
2005,1,7,4,cb,0
2005,1,7,4,millepora,0
2005,1,7,4,turf,0
2005,1,8,4,coral,76
2005,1,8,4,cb,20
2005,1,8,4,macroalgae,0
2005,1,8,4,sand,0
2005,1,8,4,turf,4
2005,1,8,4,millepora,0
2005,1,9,4,millepora,0
2005,1,9,4,cb,20
2005,1,9,4,macroalgae,12
2005,1,9,4,sand,0
2005,1,9,4,coral,64
2005,1,9,4,turf,4
2005,1,1,5,sand,40
2005,1,1,5,cb,44
2005,1,1,5,turf,0
2005,1,1,5,macroalgae,0
2005,1,1,5,coral,16
2005,1,1,5,millepora,0
2005,1,10,5,coral,16
2005,1,10,5,turf,0
2005,1,10,5,sand,72
2005,1,10,5,macroalgae,0
2005,1,10,5,cb,12
2005,1,10,5,millepora,0
2005,1,11,5,sand,16
2005,1,11,5,turf,0
2005,1,11,5,millepora,0
2005,1,11,5,macroalgae,0
2005,1,11,5,cb,64
2005,1,11,5,coral,20
2005,1,12,5,turf,0
2005,1,12,5,macroalgae,0
2005,1,12,5,millepora,0
2005,1,12,5,cb,56
2005,1,12,5,coral,28
2005,1,12,5,sand,16
2005,1,13,5,macroalgae,12
2005,1,13,5,coral,32
2005,1,13,5,cb,16
2005,1,13,5,turf,0
2005,1,13,5,millepora,0
2005,1,13,5,sand,40
2005,1,14,5,sand,28
2005,1,14,5,turf,0
2005,1,14,5,millepora,0
2005,1,14,5,coral,40
2005,1,14,5,cb,32
2005,1,14,5,macroalgae,0
2005,1,15,5,millepora,0
2005,1,15,5,cb,0
2005,1,15,5,turf,0
2005,1,15,5,sand,0
2005,1,15,5,coral,100
2005,1,15,5,macroalgae,0
2005,1,16,5,sand,0
2005,1,16,5,millepora,0
2005,1,16,5,cb,16
2005,1,16,5,turf,0
2005,1,16,5,macroalgae,4
2005,1,16,5,coral,80
2005,1,17,5,millepora,0
2005,1,17,5,coral,0
2005,1,17,5,turf,0
2005,1,17,5,macroalgae,0
2005,1,17,5,sand,64
2005,1,17,5,cb,36
2005,1,18,5,millepora,0
2005,1,18,5,macroalgae,4
2005,1,18,5,turf,4
2005,1,18,5,coral,4
2005,1,18,5,sand,24
2005,1,18,5,cb,64
2005,1,19,5,cb,72
2005,1,19,5,macroalgae,0
2005,1,19,5,turf,0
2005,1,19,5,sand,24
2005,1,19,5,coral,4
2005,1,19,5,millepora,0
2005,1,2,5,sand,4
2005,1,2,5,millepora,0
2005,1,2,5,coral,60
2005,1,2,5,cb,16
2005,1,2,5,turf,0
2005,1,2,5,macroalgae,20
2005,1,20,5,millepora,0
2005,1,20,5,cb,40
2005,1,20,5,sand,52
2005,1,20,5,turf,4
2005,1,20,5,macroalgae,0
2005,1,20,5,coral,4
2005,1,3,5,sand,0
2005,1,3,5,turf,8
2005,1,3,5,cb,40
2005,1,3,5,millepora,0
2005,1,3,5,macroalgae,0
2005,1,3,5,coral,52
2005,1,4,5,sand,0
2005,1,4,5,turf,0
2005,1,4,5,coral,100
2005,1,4,5,cb,0
2005,1,4,5,millepora,0
2005,1,4,5,macroalgae,0
2005,1,5,5,coral,88
2005,1,5,5,macroalgae,4
2005,1,5,5,millepora,0
2005,1,5,5,turf,0
2005,1,5,5,sand,0
2005,1,5,5,cb,8
2005,1,6,5,cb,72
2005,1,6,5,millepora,0
2005,1,6,5,macroalgae,0
2005,1,6,5,sand,16
2005,1,6,5,coral,12
2005,1,6,5,turf,0
2005,1,7,5,coral,64
2005,1,7,5,macroalgae,4
2005,1,7,5,turf,0
2005,1,7,5,sand,0
2005,1,7,5,millepora,0
2005,1,7,5,cb,32
2005,1,8,5,sand,40
2005,1,8,5,macroalgae,0
2005,1,8,5,turf,0
2005,1,8,5,cb,60
2005,1,8,5,millepora,0
2005,1,8,5,coral,0
2005,1,9,5,coral,0
2005,1,9,5,macroalgae,0
2005,1,9,5,turf,0
2005,1,9,5,sand,72
2005,1,9,5,millepora,0
2005,1,9,5,cb,28
2005,2,e1,1,sand,44
2005,2,e1,1,turf,0
2005,2,e1,1,coral,48
2005,2,e1,1,macroalgae,4
2005,2,e1,1,cb,4
2005,2,e1,1,millepora,0
2005,2,e2,1,sand,0
2005,2,e2,1,millepora,0
2005,2,e2,1,coral,16
2005,2,e2,1,macroalgae,4
2005,2,e2,1,turf,0
2005,2,e2,1,cb,80
2005,2,e3,1,turf,0
2005,2,e3,1,sand,12
2005,2,e3,1,millepora,0
2005,2,e3,1,cb,4
2005,2,e3,1,macroalgae,8
2005,2,e3,1,coral,76
2005,2,e4,1,macroalgae,0
2005,2,e4,1,turf,0
2005,2,e4,1,sand,12
2005,2,e4,1,millepora,0
2005,2,e4,1,coral,0
2005,2,e4,1,cb,88
2005,2,e5,1,macroalgae,4
2005,2,e5,1,coral,52
2005,2,e5,1,turf,0
2005,2,e5,1,sand,44
2005,2,e5,1,cb,0
2005,2,e5,1,millepora,0
2005,2,n1,1,turf,0
2005,2,n1,1,macroalgae,0
2005,2,n1,1,millepora,0
2005,2,n1,1,sand,88
2005,2,n1,1,coral,0
2005,2,n1,1,cb,12
2005,2,n2,1,turf,0
2005,2,n2,1,sand,0
2005,2,n2,1,cb,0
2005,2,n2,1,macroalgae,0
2005,2,n2,1,coral,100
2005,2,n2,1,millepora,0
2005,2,n3,1,sand,28
2005,2,n3,1,turf,0
2005,2,n3,1,cb,20
2005,2,n3,1,coral,40
2005,2,n3,1,millepora,0
2005,2,n3,1,macroalgae,12
2005,2,n4,1,sand,100
2005,2,n4,1,cb,0
2005,2,n4,1,macroalgae,0
2005,2,n4,1,turf,0
2005,2,n4,1,coral,0
2005,2,n4,1,millepora,0
2005,2,n5,1,cb,88
2005,2,n5,1,coral,0
2005,2,n5,1,millepora,0
2005,2,n5,1,sand,0
2005,2,n5,1,macroalgae,13
2005,2,n5,1,turf,0
2005,2,s1,1,coral,0
2005,2,s1,1,sand,12
2005,2,s1,1,millepora,0
2005,2,s1,1,cb,76
2005,2,s1,1,macroalgae,12
2005,2,s1,1,turf,0
2005,2,s2,1,macroalgae,0
2005,2,s2,1,sand,4
2005,2,s2,1,coral,4
2005,2,s2,1,turf,0
2005,2,s2,1,millepora,0
2005,2,s2,1,cb,92
2005,2,s3,1,coral,0
2005,2,s3,1,macroalgae,0
2005,2,s3,1,cb,0
2005,2,s3,1,sand,100
2005,2,s3,1,turf,0
2005,2,s3,1,millepora,0
2005,2,s4,1,cb,18
2005,2,s4,1,millepora,0
2005,2,s4,1,coral,59
2005,2,s4,1,macroalgae,6
2005,2,s4,1,turf,0
2005,2,s4,1,sand,18
2005,2,s5,1,macroalgae,36
2005,2,s5,1,coral,32
2005,2,s5,1,sand,12
2005,2,s5,1,cb,20
2005,2,s5,1,turf,0
2005,2,s5,1,millepora,0
2005,2,w1,1,coral,40
2005,2,w1,1,turf,0
2005,2,w1,1,cb,16
2005,2,w1,1,millepora,0
2005,2,w1,1,sand,0
2005,2,w1,1,macroalgae,44
2005,2,w2,1,millepora,0
2005,2,w2,1,sand,4
2005,2,w2,1,coral,12
2005,2,w2,1,macroalgae,16
2005,2,w2,1,turf,0
2005,2,w2,1,cb,68
2005,2,w3,1,coral,0
2005,2,w3,1,cb,28
2005,2,w3,1,sand,72
2005,2,w3,1,millepora,0
2005,2,w3,1,turf,0
2005,2,w3,1,macroalgae,0
2005,2,w4,1,macroalgae,0
2005,2,w4,1,turf,0
2005,2,w4,1,millepora,0
2005,2,w4,1,cb,48
2005,2,w4,1,coral,0
2005,2,w4,1,sand,52
2005,2,w5,1,turf,0
2005,2,w5,1,coral,0
2005,2,w5,1,cb,72
2005,2,w5,1,millepora,0
2005,2,w5,1,macroalgae,0
2005,2,w5,1,sand,28
2005,2,e1,2,turf,0
2005,2,e1,2,millepora,0
2005,2,e1,2,macroalgae,84
2005,2,e1,2,coral,0
2005,2,e1,2,cb,0
2005,2,e1,2,sand,16
2005,2,e2,2,coral,12
2005,2,e2,2,turf,0
2005,2,e2,2,cb,0
2005,2,e2,2,macroalgae,80
2005,2,e2,2,millepora,0
2005,2,e2,2,sand,8
2005,2,e3,2,cb,8
2005,2,e3,2,turf,0
2005,2,e3,2,coral,20
2005,2,e3,2,millepora,0
2005,2,e3,2,macroalgae,64
2005,2,e3,2,sand,8
2005,2,e4,2,turf,0
2005,2,e4,2,millepora,0
2005,2,e4,2,coral,64
2005,2,e4,2,macroalgae,16
2005,2,e4,2,cb,20
2005,2,e4,2,sand,0
2005,2,e5,2,turf,0
2005,2,e5,2,coral,0
2005,2,e5,2,cb,0
2005,2,e5,2,macroalgae,56
2005,2,e5,2,sand,44
2005,2,e5,2,millepora,0
2005,2,n1,2,millepora,0
2005,2,n1,2,coral,0
2005,2,n1,2,turf,0
2005,2,n1,2,sand,36
2005,2,n1,2,macroalgae,64
2005,2,n1,2,cb,0
2005,2,n2,2,millepora,0
2005,2,n2,2,cb,0
2005,2,n2,2,sand,16
2005,2,n2,2,macroalgae,84
2005,2,n2,2,coral,0
2005,2,n2,2,turf,0
2005,2,n3,2,coral,40
2005,2,n3,2,macroalgae,52
2005,2,n3,2,turf,0
2005,2,n3,2,sand,8
2005,2,n3,2,millepora,0
2005,2,n3,2,cb,0
2005,2,n4,2,sand,0
2005,2,n4,2,cb,0
2005,2,n4,2,millepora,0
2005,2,n4,2,turf,0
2005,2,n4,2,coral,48
2005,2,n4,2,macroalgae,52
2005,2,n5,2,turf,0
2005,2,n5,2,cb,0
2005,2,n5,2,sand,0
2005,2,n5,2,millepora,0
2005,2,n5,2,macroalgae,16
2005,2,n5,2,coral,84
2005,2,s1,2,millepora,0
2005,2,s1,2,coral,16
2005,2,s1,2,turf,0
2005,2,s1,2,cb,4
2005,2,s1,2,macroalgae,64
2005,2,s1,2,sand,16
2005,2,s2,2,millepora,0
2005,2,s2,2,macroalgae,76
2005,2,s2,2,turf,0
2005,2,s2,2,sand,12
2005,2,s2,2,coral,12
2005,2,s2,2,cb,0
2005,2,s3,2,millepora,0
2005,2,s3,2,coral,0
2005,2,s3,2,turf,0
2005,2,s3,2,cb,0
2005,2,s3,2,macroalgae,0
2005,2,s3,2,sand,100
2005,2,s4,2,cb,0
2005,2,s4,2,turf,0
2005,2,s4,2,sand,92
2005,2,s4,2,millepora,0
2005,2,s4,2,macroalgae,8
2005,2,s4,2,coral,0
2005,2,s5,2,coral,0
2005,2,s5,2,sand,72
2005,2,s5,2,macroalgae,28
2005,2,s5,2,millepora,0
2005,2,s5,2,turf,0
2005,2,s5,2,cb,0
2005,2,w1,2,sand,0
2005,2,w1,2,coral,8
2005,2,w1,2,macroalgae,88
2005,2,w1,2,cb,4
2005,2,w1,2,millepora,0
2005,2,w1,2,turf,0
2005,2,w2,2,sand,0
2005,2,w2,2,coral,4
2005,2,w2,2,millepora,0
2005,2,w2,2,turf,0
2005,2,w2,2,macroalgae,48
2005,2,w2,2,cb,48
2005,2,w3,2,cb,4
2005,2,w3,2,coral,56
2005,2,w3,2,macroalgae,24
2005,2,w3,2,sand,16
2005,2,w3,2,turf,0
2005,2,w3,2,millepora,0
2005,2,w4,2,sand,8
2005,2,w4,2,turf,0
2005,2,w4,2,cb,0
2005,2,w4,2,coral,12
2005,2,w4,2,macroalgae,80
2005,2,w4,2,millepora,0
2005,2,w5,2,turf,0
2005,2,w5,2,cb,0
2005,2,w5,2,sand,44
2005,2,w5,2,millepora,0
2005,2,w5,2,macroalgae,56
2005,2,w5,2,coral,0
2005,2,e1,3,macroalgae,16
2005,2,e1,3,coral,4
2005,2,e1,3,millepora,0
2005,2,e1,3,turf,0
2005,2,e1,3,sand,4
2005,2,e1,3,cb,76
2005,2,e2,3,coral,72
2005,2,e2,3,macroalgae,4
2005,2,e2,3,sand,0
2005,2,e2,3,millepora,0
2005,2,e2,3,turf,0
2005,2,e2,3,cb,24
2005,2,e3,3,coral,0
2005,2,e3,3,cb,0
2005,2,e3,3,millepora,0
2005,2,e3,3,turf,0
2005,2,e3,3,sand,100
2005,2,e3,3,macroalgae,0
2005,2,e4,3,cb,100
2005,2,e4,3,macroalgae,0
2005,2,e4,3,turf,0
2005,2,e4,3,millepora,0
2005,2,e4,3,sand,0
2005,2,e4,3,coral,0
2005,2,e5,3,coral,0
2005,2,e5,3,macroalgae,0
2005,2,e5,3,cb,100
2005,2,e5,3,turf,0
2005,2,e5,3,sand,0
2005,2,e5,3,millepora,0
2005,2,n1,3,coral,36
2005,2,n1,3,cb,32
2005,2,n1,3,turf,0
2005,2,n1,3,sand,4
2005,2,n1,3,macroalgae,28
2005,2,n1,3,millepora,0
2005,2,n2,3,sand,0
2005,2,n2,3,turf,0
2005,2,n2,3,macroalgae,60
2005,2,n2,3,millepora,0
2005,2,n2,3,cb,40
2005,2,n2,3,coral,0
2005,2,n3,3,turf,0
2005,2,n3,3,millepora,0
2005,2,n3,3,macroalgae,68
2005,2,n3,3,sand,0
2005,2,n3,3,cb,32
2005,2,n3,3,coral,0
2005,2,n4,3,cb,80
2005,2,n4,3,coral,16
2005,2,n4,3,turf,0
2005,2,n4,3,macroalgae,4
2005,2,n4,3,millepora,0
2005,2,n4,3,sand,0
2005,2,n5,3,coral,0
2005,2,n5,3,sand,32
2005,2,n5,3,millepora,0
2005,2,n5,3,macroalgae,0
2005,2,n5,3,turf,0
2005,2,n5,3,cb,68
2005,2,s1,3,turf,0
2005,2,s1,3,millepora,0
2005,2,s1,3,macroalgae,28
2005,2,s1,3,cb,48
2005,2,s1,3,coral,24
2005,2,s1,3,sand,0
2005,2,s2,3,coral,36
2005,2,s2,3,turf,0
2005,2,s2,3,cb,24
2005,2,s2,3,sand,4
2005,2,s2,3,macroalgae,36
2005,2,s2,3,millepora,0
2005,2,s3,3,cb,40
2005,2,s3,3,turf,0
2005,2,s3,3,macroalgae,0
2005,2,s3,3,sand,60
2005,2,s3,3,coral,0
2005,2,s3,3,millepora,0
2005,2,s4,3,turf,0
2005,2,s4,3,millepora,0
2005,2,s4,3,cb,95
2005,2,s4,3,coral,0
2005,2,s4,3,sand,0
2005,2,s4,3,macroalgae,5
2005,2,s5,3,macroalgae,8
2005,2,s5,3,turf,0
2005,2,s5,3,coral,4
2005,2,s5,3,cb,88
2005,2,s5,3,sand,0
