Date,Location,Sand,Turf,Crustose_Coralline_Algae_or_Bare_Space,Stony_Coral,Soft_Coral,Macroalgae,Acanthastrea,Acropora,Astreopora,Cyphastrea,Favia,Fungia,Gardinoseris,Herpolitha,Leptastrea,Leptoseris,Lobophyllia,Montastrea,Montipora,Pachyseris,Pavona,Pocillopora,Porites,Psammocora,Sandolitha,Stylocoeniella,Tubastrea,Millepora
2005-04,LTER 1 Fringing Reef Coral Transect Pole 5-6 Quadrat 5,84.8,11,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 5-6 Quadrat 7,12.7,13.4,24.8,48.4,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.4,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 5-6 Quadrat 8,27,3.1,57.7,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3,0,0,0,0,0
2005-04,LTER 1 Outer 17 m Coral Transect Pole 1-2 Quadrat 1,1.8,0,64.4,33.7,0,0,0,20.9,0.6,0,0.6,0,0,0,1.2,0,0,0,0,0,2.5,5.5,2.5,0,0,0,0,0
2005-04,LTER 1 Outer 17 m Coral Transect Pole 1-2 Quadrat 2,9.9,0.7,58.9,30.5,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,1.3,0,1.3,13.2,12.6,1.3,0,0,0,0
2005-04,LTER 1 Outer 17 m Coral Transect Pole 1-2 Quadrat 3,15.6,0,47.5,36.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,35,0,0,0,0,0
2005-04,LTER 1 Outer 17 m Coral Transect Pole 1-2 Quadrat 4,16,0,33.7,50.3,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0.6,0,1.2,12.3,31.3,0,0,0,0,0
2005-04,LTER 1 Outer 17 m Coral Transect Pole 1-2 Quadrat 5,0,0.6,40.6,58.8,0,0,0,6.7,0,0,0,0,0,0,3.6,0,0,0.6,4.2,0,7.9,18.8,10.3,6.7,0,0,0,0
2005-04,LTER 1 Outer 17 m Coral Transect Pole 1-2 Quadrat 6,7.4,0,40.7,51.9,0,0,0,4.3,0,0,0,0,0,0,10.5,0,0,0,1.2,0,1.2,31.5,2.5,0.6,0,0,0,0
2005-04,LTER 1 Outer 17 m Coral Transect Pole 1-2 Quadrat 7,6.2,0,60.7,32.6,0,0.6,0,1.7,0,0,0,5.1,0,0,2.2,0,0,0,0,0,0,6.7,16.3,0.6,0,0,0,0
2005-04,LTER 1 Outer 17 m Coral Transect Pole 1-2 Quadrat 8,0,0,21.9,78.1,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,3,14.2,55,0,0,0,0,0
2005-04,LTER 1 Outer 17 m Coral Transect Pole 2-3 Quadrat 1,18,0,48.4,32.3,0,1.2,0,10.6,0,0,0,0,0,0,0.6,0,0,0,0,0,0,8.7,12.4,0,0,0,0,0
2005-04,LTER 1 Outer 17 m Coral Transect Pole 2-3 Quadrat 2,0,0,37.7,62.3,0,0,0,16,0,0,0,1.2,0,0,0,0,0,0,0,0,1.2,22.8,21,0,0,0,0,0
2005-04,LTER 1 Outer 17 m Coral Transect Pole 2-3 Quadrat 3,5.8,0,32.6,61.6,0,0,0,32.6,0,2.3,0,0,0,0,1.2,0,0,0,0,0,0,9.3,16.3,0,0,0,0,0
2005-04,LTER 1 Outer 17 m Coral Transect Pole 2-3 Quadrat 4,0,0,69.9,28.9,0,1.2,0,2.3,0,0,0,0,0,0,1.2,0,0,2.9,0,0,0,21.4,1.2,0,0,0,0,0
2005-04,LTER 1 Outer 17 m Coral Transect Pole 2-3 Quadrat 5,0,0,51.8,48.2,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,31.1,15.9,0,0,0,0,0
2005-04,LTER 1 Outer 17 m Coral Transect Pole 2-3 Quadrat 6,1.8,0,80.6,16.4,0,1.2,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9,1.2,0,0,0,0,0
2005-04,LTER 1 Outer 17 m Coral Transect Pole 2-3 Quadrat 7,0,0,69,31,0,0,0,5.7,0,0.6,0,0,0,0,0.6,0,0,0,1.7,0,3.4,13.2,5.7,0,0,0,0,0
2005-04,LTER 1 Outer 17 m Coral Transect Pole 2-3 Quadrat 8,0,0,52.4,47.6,0,0,0,15.9,0,0.6,0,0,0,0,8.8,0,0,0,0,0,1.2,8.8,12.4,0,0,0,0,0
2005-04,LTER 1 Outer 17 m Coral Transect Pole 3-4 Quadrat 1,12.1,0,20.8,67.1,0,0,0,25.4,0,0,0,0,0,0,0,0,0,0,0,0,0,34.7,6.9,0,0,0,0,0
2005-04,LTER 1 Outer 17 m Coral Transect Pole 3-4 Quadrat 2,3.4,0,16.9,79.7,0,0,0,28.8,0,0,0,0,0,0,0,0,0,0,0,0,1.1,38.4,10.2,1.1,0,0,0,0
2005-04,LTER 1 Outer 17 m Coral Transect Pole 3-4 Quadrat 3,3.7,0,31.3,65,0,0,0,20.9,0,0,0,0,0,0,0,0,0,0.6,0,0,3.1,25.8,14.7,0,0,0,0,0
2005-04,LTER 1 Outer 17 m Coral Transect Pole 3-4 Quadrat 4,13.1,0,42.3,44.6,0,0,0,22.6,0,0,0,0.6,0,0,0,0,0,0.6,1.2,0,4.2,7.7,7.7,0,0,0,0,0
2005-04,LTER 1 Outer 17 m Coral Transect Pole 3-4 Quadrat 5,11,0,22,54.9,0,0,0,4.9,1.8,0,0,0,0,0,3,0,0,0,0,0,1.2,40.2,3.7,0,0,0,0,12.2
2005-04,LTER 1 Outer 17 m Coral Transect Pole 3-4 Quadrat 6,1.7,0,24.9,57.8,0,0,0,1.7,0,0,0,3.5,0,0,11,0,0,0.6,0,0,0.6,37.6,2.9,0,0,0,0,15.6
2005-04,LTER 1 Outer 17 m Coral Transect Pole 4-5 Quadrat 1,11.4,0,57,31.6,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,15.2,0,0,8.9,3.2,0,0,0,0,0
2005-04,LTER 1 Outer 17 m Coral Transect Pole 4-5 Quadrat 2,25.3,1.2,24.1,49.4,0,0,0,5.3,0,0,0,0,0,0,16.5,0,0,0,0,0,0.6,21.2,5.9,0,0,0,0,0
2005-04,LTER 1 Outer 17 m Coral Transect Pole 4-5 Quadrat 3,17.4,0,61.2,21.3,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,13.5,7.3,0,0,0,0,0
2005-04,LTER 1 Outer 17 m Coral Transect Pole 4-5 Quadrat 4,10.7,0,53.1,35.6,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,29.4,0,0,0,0,0
2005-04,LTER 1 Outer 17 m Coral Transect Pole 4-5 Quadrat 5,28,0,39.1,32.3,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.4,1.9,0,0,0,0,0
2005-04,LTER 1 Outer 17 m Coral Transect Pole 4-5 Quadrat 6,0,0,64.8,35.2,0,0,0,4.9,0,0,0,0,0,9.3,0,0,0,0,0,0,0,0,21,0,0,0,0,0
2005-04,LTER 1 Outer 17 m Coral Transect Pole 4-5 Quadrat 7,12.2,0,54.3,33.5,0,0,1.2,14,3,0,0,0,0,4.9,0,0,0,0,1.8,0,0,3.7,4.9,0,0,0,0,0
2005-04,LTER 1 Outer 17 m Coral Transect Pole 4-5 Quadrat 8,0,0,34.3,65.1,0,0.6,0,8.4,0,0,0,4.2,0,0,1.8,0,0,0,0,0,7.8,34.9,7.8,0,0,0,0,0
2005-04,LTER 1 Outer 17 m Coral Transect Pole 5-6 Quadrat 1,0,0,47.3,52.7,0,0,0,12.7,0,0,0,0,0,0,0.6,0,0,1.8,1.8,0,0,23,4.2,8.5,0,0,0,0
2005-04,LTER 1 Outer 17 m Coral Transect Pole 5-6 Quadrat 2,5.8,0,46.2,47.4,0,0.6,0,8.3,0,0,0,0,0,0,0.6,0,0,3.2,4.5,0,0.6,19.2,10.9,0,0,0,0,0
2005-04,LTER 1 Outer 17 m Coral Transect Pole 5-6 Quadrat 3,0,0,99.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0
2005-04,LTER 1 Outer 17 m Coral Transect Pole 5-6 Quadrat 4,14.5,0,59,26.6,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,12.7,0,0,3.5,9.2,0,0,0,0,0
2005-04,LTER 1 Outer 17 m Coral Transect Pole 5-6 Quadrat 5,21.2,0,33.5,45.3,0,0,0,5.9,0,0,0,0,0,0,5.3,0,0,0,1.2,0,1.2,28.8,2.4,0.6,0,0,0,0
2005-04,LTER 1 Outer 17 m Coral Transect Pole 5-6 Quadrat 6,30.4,0,38.7,29.8,0,1.2,0,1.8,0,0,0,0,0,0,4.8,0,0,1.8,0,0,0,19.6,1.8,0,0,0,0,0
2005-04,LTER 1 Outer 17 m Coral Transect Pole 5-6 Quadrat 7,7.9,0,25.5,66.7,0,0,0,17.6,0,0,0,0,0,0,29.1,0,0,0,0,0,0,4.2,15.8,0,0,0,0,0
2005-04,LTER 1 Outer 17 m Coral Transect Pole 5-6 Quadrat 8,11.7,0,21.6,66.7,0,0,0,13.5,0,0,0,0,0,0,13.5,0,0,0.6,0,0,0.6,16.4,22.2,0,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 1-2 Quadrat 1,0,0,2.6,97.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.4,0,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 1-2 Quadrat 2,0,0,0.6,99.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.4,0,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 1-2 Quadrat 3,0,23.5,3.3,71.9,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.9,0,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 1-2 Quadrat 4,1.9,30.2,0,67.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.6,6.3,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 1-2 Quadrat 5,57.3,0,10.8,31.2,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.2,0,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 1-2 Quadrat 6,0,22.4,1.3,76.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.3,0,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 1-2 Quadrat 7,1.9,1.9,1.3,94.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.9,0,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 2-3 Quadrat 1,0,38.1,5.2,54.8,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.8,0,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 2-3 Quadrat 2,4,2.6,2,87.4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.4,0,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 2-3 Quadrat 3,1.4,0,1.4,97.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.3,0,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 2-3 Quadrat 4,0.7,0,0,99.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.3,0,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 2-3 Quadrat 5,4.3,0,11.2,84.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.5,0,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 2-3 Quadrat 6,18.7,18.1,5.8,57.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.4,0,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 2-3 Quadrat 7,10.4,19.5,57.1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 2-3 Quadrat 8,0,89,7.8,2.6,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 3-4 Quadrat 1,0,0,50.9,49.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,0,0,0,41.7,0,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 3-4 Quadrat 2,0,27.8,3.1,69.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,64.8,0,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 3-4 Quadrat 3,0,62.4,24.8,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,7.4,0,0,0,0,0,2.7
2005-04,LTER 2 Fringing Reef Coral Transect Pole 3-4 Quadrat 4,2,63.6,23.8,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3,0,1.3,0,0,0,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 3-4 Quadrat 5,0,47.8,43.3,8.9,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 3-4 Quadrat 6,0,60.8,12.2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 3-4 Quadrat 8,0,99.4,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 4-5 Quadrat 1,0,89.5,7.8,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 4-5 Quadrat 2,0,77,3.9,12.5,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0.7,0,6.6,0,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 4-5 Quadrat 3,8.9,0,82.8,7.6,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 4-5 Quadrat 4,0,23,5,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 4-5 Quadrat 5,0,82.7,16.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 4-5 Quadrat 6,0,62.7,18,14.9,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,0,0,9.3,0,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 4-5 Quadrat 7,0,59.4,28.4,4.5,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,1.3,0,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 4-5 Quadrat 8,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 5-6 Quadrat 1,0,0,1.4,98.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.6,0,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 5-6 Quadrat 2,0,26,42.2,29.2,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.2,0,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 5-6 Quadrat 3,0,78.4,2.6,19,0,0,0,11.1,0,0,0,0,0,0,0,0,0,0,7.2,0,0,0.7,0,0,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 5-6 Quadrat 4,0,57.9,13.8,28.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3,0,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 5-6 Quadrat 5,0,0,10.8,89.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,3.2,0,85.4,0,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 5-6 Quadrat 6,0,82.8,8.3,7,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0.6,5.7,0,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 5-6 Quadrat 7,0,78.8,0,12.2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,10.9,0,0,0,0,0
2005-04,LTER 2 Fringing Reef Coral Transect Pole 5-6 Quadrat 8,0.7,43.8,37.5,18.1,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,2.8,0,2.1,1.4,11.1,0,0,0,0,0
2005-04,LTER 2 Outer 17 m Coral Transect Pole 1-2 Quadrat 1,0,1.8,57.1,39.4,0,0,0,5.9,0,0,0,1.8,0,0,4.7,0,0,2.9,0,0,0.6,23.5,0,0,0,0,0,1.8
2005-04,LTER 2 Outer 17 m Coral Transect Pole 1-2 Quadrat 2,0,0.6,44.6,54.2,0,0.6,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,42.8,0,0,0,0,0
2005-04,LTER 2 Outer 17 m Coral Transect Pole 1-2 Quadrat 3,0,2.2,51.6,38.5,0,7.7,0,20.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,16.5,0,0,0,0,0
2005-04,LTER 2 Outer 17 m Coral Transect Pole 1-2 Quadrat 4,0,0,75.7,24.3,0,0,0,2.3,0,0,0,0.6,0,0,4,0,0,1.2,0,0,0,16.2,0,0,0,0,0,0
2005-04,LTER 2 Outer 17 m Coral Transect Pole 1-2 Quadrat 5,0,0,20,80,0,0,0,4.7,0,0,0,1.8,0,0,0,0,0,0,0,0,0,12.9,60.6,0,0,0,0,0
2005-04,LTER 2 Outer 17 m Coral Transect Pole 1-2 Quadrat 6,1.2,0,27.9,70.3,0,0.6,0,14.5,0,0,0,1.2,0,0,2.9,0,0,0,0,0,2.3,12.8,36.6,0,0,0,0,0
2005-04,LTER 2 Outer 17 m Coral Transect Pole 1-2 Quadrat 7,7.9,0,17,66.1,0,1.2,0,17.6,0,0,0,1.2,0,0,0.6,0,0,0,0,0,0,17,29.7,0,0,0,0,7.9
2005-04,LTER 2 Outer 17 m Coral Transect Pole 1-2 Quadrat 8,0,0,50.9,49.1,0,0,0,6,0,0,0,1.2,0,0,0.6,0,0,0,0,0,4.8,24.6,12,0,0,0,0,0
2005-04,LTER 2 Outer 17 m Coral Transect Pole 2-3 Quadrat 1,0,0,22.9,75.9,0,1.2,0,3.5,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,71.2,0,0,0,0,0
2005-04,LTER 2 Outer 17 m Coral Transect Pole 2-3 Quadrat 2,0,0,11.2,88.8,0,0,0,1.8,0,0,0,0.6,0,0,0,0,0,0,0,0,18.8,6.5,61.2,0,0,0,0,0
2005-04,LTER 2 Outer 17 m Coral Transect Pole 2-3 Quadrat 3,0,0,45.3,54.7,0,0,0,12.8,0,0,0,2.3,0,0,4.7,0,0,0,0,0,0,19.2,5.2,10.5,0,0,0,0
