Taxonomy,Year,Date,Start,End,Location,Site,Habitat,Transect,Swath,Family.x,Count,Total_Length,Length_Anomaly,Biomass,Coarse_Trophic,Fine_Trophic,Cloud_Cover,Wind_Velocity,Sea_State,Swell,Visibility,Surge,Diver,Family.y,Trophic.group,Functional.group
Acanthurus guttatus,2006,7/12/06,19:33,20:45,LTER 6 Backreef Fish Transect 2 Swath 5 m,6,BA,2,5,Acanthuridae,1,230,0,303.7,Primary Consumer,Herbivore/Detritivore,70,2,0,0,21,2,AB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus guttatus,2007,7/12/07,21:45,22:25,LTER 6 Fringing Reef Fish Transect 4 Swath 5 m,6,FR,4,5,Acanthuridae,1,130,0,55.4,Primary Consumer,Herbivore/Detritivore,80,1,1,0,13,0,KS,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus guttatus,2012,7/28/12,19:10,20:15,LTER 2 Forereef Fish Transect 4 Swath 5 m,2,FO,4,5,Acanthuridae,2,200,0,400.4,Primary Consumer,Herbivore/Detritivore,60,1,1,0.5,46.5,0,KS,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus guttatus,2012,7/29/12,21:10,22:15,LTER 3 Forereef Fish Transect 4 Swath 5 m,3,FO,4,5,Acanthuridae,2,140,0,138.2,Primary Consumer,Herbivore/Detritivore,15,2,1,1,51,0,KS,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus guttatus,2012,7/27/12,23:05,23:50,LTER 3 Backreef Fish Transect 1 Swath 5 m,3,BA,1,5,Acanthuridae,1,160,0,102.9,Primary Consumer,Herbivore/Detritivore,5,1,0,0,29.7,0,GB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus guttatus,2007,7/12/07,20:20,21:05,LTER 6 Backreef Fish Transect 4 Swath 5 m,6,BA,4,5,Acanthuridae,1,120,0,43.6,Primary Consumer,Herbivore/Detritivore,75,1,1,0,34,0,KS,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus lineatus,2009,8/4/09,21:30,22:45,LTER 1 Forereef Fish Transect 1 Swath 5 m,1,FO,1,5,Acanthuridae,5,180,0,417.5,Primary Consumer,Herbivore/Detritivore,85,1,0,1,33,0,GB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus lineatus,2008,7/21/08,20:30,21:15,LTER 2 Fringing Reef Fish Transect 3 Swath 5 m,2,FR,3,5,Acanthuridae,3,100,0,43.4,Primary Consumer,Herbivore/Detritivore,10,1,0,0,16,0,YR,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus lineatus,2007,7/16/07,20:40,21:35,LTER 1 Backreef Fish Transect 3 Swath 5 m,1,BA,3,5,Acanthuridae,1,110,0,19.2,Primary Consumer,Herbivore/Detritivore,65,3,2,0,26,1,CK,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus lineatus,2012,8/1/12,21:40,22:20,LTER 1 Backreef Fish Transect 4 Swath 5 m,1,BA,4,5,Acanthuridae,1,100,0,14.5,Primary Consumer,Herbivore/Detritivore,35,1,1,0,20.7,0,KS,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus lineatus,2011,8/4/11,10:00,10:50,LTER 2 Fringing Reef Fish Transect 3 Swath 5 m,2,FR,3,5,Acanthuridae,1,160,0,58.8,Primary Consumer,Herbivore/Detritivore,90,3,1,0,15,0,TA,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus lineatus,2011,8/4/11,10:00,10:50,LTER 2 Fringing Reef Fish Transect 3 Swath 5 m,2,FR,3,5,Acanthuridae,2,140,0,78.9,Primary Consumer,Herbivore/Detritivore,90,3,1,0,15,0,TA,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus lineatus,2011,8/4/11,10:00,10:50,LTER 2 Fringing Reef Fish Transect 2 Swath 5 m,2,FR,2,5,Acanthuridae,2,130,0,63.3,Primary Consumer,Herbivore/Detritivore,90,3,1,0,15,0,AB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus lineatus,2012,7/31/12,23:10,23:50,LTER 5 Backreef Fish Transect 1 Swath 5 m,5,BA,1,5,Acanthuridae,1,35,0,0.63,Primary Consumer,Herbivore/Detritivore,50,1,1,0,35.3,0,GB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus lineatus,2009,8/2/09,20:45,21:20,LTER 6 Backreef Fish Transect 2 Swath 5 m,6,BA,2,5,Acanthuridae,1,120,0,24.9,Primary Consumer,Herbivore/Detritivore,25,1,0,0,26.7,0,AB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus lineatus,2009,8/2/09,20:45,21:20,LTER 6 Backreef Fish Transect 2 Swath 5 m,6,BA,2,5,Acanthuridae,1,100,0,14.5,Primary Consumer,Herbivore/Detritivore,25,1,0,0,26.7,0,AB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus lineatus,2009,8/3/09,21:00,21:45,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Acanthuridae,1,90,0,10.56,Primary Consumer,Herbivore/Detritivore,40,1,0,0,26.3,0.5,AB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus lineatus,2009,8/2/09,20:45,21:20,LTER 6 Backreef Fish Transect 2 Swath 5 m,6,BA,2,5,Acanthuridae,2,90,0,21.12,Primary Consumer,Herbivore/Detritivore,25,1,0,0,26.7,0,AB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus lineatus,2009,8/2/09,20:45,21:20,LTER 6 Backreef Fish Transect 2 Swath 5 m,6,BA,2,5,Acanthuridae,3,50,0,5.49,Primary Consumer,Herbivore/Detritivore,25,1,0,0,26.7,0,AB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus lineatus,2009,8/2/09,20:45,21:20,LTER 6 Backreef Fish Transect 2 Swath 5 m,6,BA,2,5,Acanthuridae,1,80,0,7.43,Primary Consumer,Herbivore/Detritivore,25,1,0,0,26.7,0,AB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus lineatus,2008,7/25/08,22:20,22:45,LTER 5 Backreef Fish Transect 2 Swath 5 m,5,BA,2,5,Acanthuridae,1,50,0,1.83,Primary Consumer,Herbivore/Detritivore,12,1,0,0,29,0,AB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus lineatus,2009,8/2/09,20:45,21:20,LTER 6 Backreef Fish Transect 2 Swath 5 m,6,BA,2,5,Acanthuridae,1,70,0,4.99,Primary Consumer,Herbivore/Detritivore,25,1,0,0,26.7,0,AB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2006,7/13/06,19:40,21:05,LTER 4 Forereef Fish Transect 1 Swath 5 m,4,FO,1,5,Acanthuridae,1,50,0,3.24,Primary Consumer,Herbivore/Detritivore,40,1,0,1,32,1,GB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2008,7/26/08,19:00,20:25,LTER 2 Forereef Fish Transect 1 Swath 5 m,2,FO,1,5,Acanthuridae,1,130,0,56.1,Primary Consumer,Herbivore/Detritivore,15,2,0,1,28,0,GB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2009,8/7/09,19:30,20:55,LTER 4 Forereef Fish Transect 2 Swath 5 m,4,FO,2,5,Acanthuridae,2,70,0,17.7,Primary Consumer,Herbivore/Detritivore,90,1,0,1,30.9,0.5,AB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2007,7/16/07,19:30,20:10,LTER 2 Backreef Fish Transect 3 Swath 5 m,2,BA,3,5,Acanthuridae,5,200,0,1013.6,Primary Consumer,Herbivore/Detritivore,95,3,2,0,9,0,CK,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2007,7/16/07,19:30,20:10,LTER 2 Backreef Fish Transect 3 Swath 5 m,2,BA,3,5,Acanthuridae,8,190,0,1391.6,Primary Consumer,Herbivore/Detritivore,95,3,2,0,9,0,CK,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2006,7/11/06,19:05,20:35,LTER 2 Backreef Fish Transect 3 Swath 5 m,2,BA,3,5,Acanthuridae,1,150,0,85.9,Primary Consumer,Herbivore/Detritivore,60,1,0,0,-1,0,CK,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2012,7/29/12,21:10,22:15,LTER 3 Forereef Fish Transect 4 Swath 5 m,3,FO,4,5,Acanthuridae,9,90,0,168.52,Primary Consumer,Herbivore/Detritivore,15,2,1,1,51,0,KS,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2012,8/1/12,22:45,23:40,LTER 1 Fringing Reef Fish Transect 2 Swath 5 m,1,FR,2,5,Acanthuridae,1,40,0,1.67,Primary Consumer,Herbivore/Detritivore,25,0,0,0,21.7,0,AB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2009,8/7/09,21:25,22:50,LTER 3 Forereef Fish Transect 1 Swath 5 m,3,FO,1,5,Acanthuridae,1,70,0,8.85,Primary Consumer,Herbivore/Detritivore,55,1,0,1,33.7,0,GB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2006,7/13/06,21:40,23:25,LTER 3 Forereef Fish Transect 2 Swath 5 m,3,FO,2,5,Acanthuridae,2,110,0,68.1,Primary Consumer,Herbivore/Detritivore,40,1,0,1,34,1,AB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2009,8/7/09,21:25,22:50,LTER 3 Forereef Fish Transect 3 Swath 5 m,3,FO,3,5,Acanthuridae,6,60,0,33.52,Primary Consumer,Herbivore/Detritivore,55,1,0,1,33.7,0,YR,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2009,8/4/09,19:15,20:45,LTER 2 Forereef Fish Transect 2 Swath 5 m,2,FO,2,5,Acanthuridae,3,150,0,257.8,Primary Consumer,Herbivore/Detritivore,80,1,0,1,38,0,AB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2011,8/2/11,11:50,12:45,LTER 3 Forereef Fish Transect 2 Swath 5 m,3,FO,2,5,Acanthuridae,1,100,0,25.6,Primary Consumer,Herbivore/Detritivore,5,2,0,1,46.8,0.5,AB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2006,7/13/06,19:40,21:05,LTER 4 Forereef Fish Transect 3 Swath 5 m,4,FO,3,5,Acanthuridae,1,180,0,148,Primary Consumer,Herbivore/Detritivore,40,1,0,1,32,1,CK,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2012,7/29/12,21:10,22:15,LTER 3 Forereef Fish Transect 3 Swath 5 m,3,FO,3,5,Acanthuridae,8,100,0,205.1,Primary Consumer,Herbivore/Detritivore,15,2,1,1,51,0,JN,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2010,8/5/10,19:15,20:28,LTER 4 Forereef Fish Transect 3 Swath 5 m,4,FO,3,5,Acanthuridae,10,150,0,859.4,Primary Consumer,Herbivore/Detritivore,3,1,0,1,38,0,TA,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2006,7/13/06,21:40,23:25,LTER 3 Forereef Fish Transect 3 Swath 5 m,3,FO,3,5,Acanthuridae,2,150,0,171.9,Primary Consumer,Herbivore/Detritivore,40,1,0,1,34,1,CK,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2009,8/4/09,19:15,20:45,LTER 2 Forereef Fish Transect 2 Swath 5 m,2,FO,2,5,Acanthuridae,6,100,0,153.8,Primary Consumer,Herbivore/Detritivore,80,1,0,1,38,0,AB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2009,8/7/09,19:30,20:55,LTER 4 Forereef Fish Transect 2 Swath 5 m,4,FO,2,5,Acanthuridae,3,50,0,9.73,Primary Consumer,Herbivore/Detritivore,90,1,0,1,30.9,0.5,AB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2006,7/13/06,19:40,21:05,LTER 4 Forereef Fish Transect 3 Swath 5 m,4,FO,3,5,Acanthuridae,2,200,0,405.4,Primary Consumer,Herbivore/Detritivore,40,1,0,1,32,1,CK,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2012,7/29/12,21:10,22:15,LTER 3 Forereef Fish Transect 4 Swath 5 m,3,FO,4,5,Acanthuridae,27,110,0,919.9,Primary Consumer,Herbivore/Detritivore,15,2,1,1,51,0,KS,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2010,8/6/10,19:00,20:10,LTER 2 Forereef Fish Transect 1 Swath 5 m,2,FO,1,5,Acanthuridae,1,130,0,56.1,Primary Consumer,Herbivore/Detritivore,0,1,0,1,35,0,GB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2009,8/4/09,19:15,20:45,LTER 2 Forereef Fish Transect 1 Swath 5 m,2,FO,1,5,Acanthuridae,2,80,0,26.35,Primary Consumer,Herbivore/Detritivore,80,1,0,1,38,0,GB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2009,8/7/09,21:25,22:50,LTER 3 Forereef Fish Transect 2 Swath 5 m,3,FO,2,5,Acanthuridae,1,100,0,25.6,Primary Consumer,Herbivore/Detritivore,55,1,0,1,33.7,0,AB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2006,7/15/06,21:50,23:25,LTER 6 Forereef Fish Transect 4 Swath 5 m,6,FO,4,5,Acanthuridae,1,100,0,25.6,Primary Consumer,Herbivore/Detritivore,50,1,0,1,37,1,KS,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2006,7/13/06,21:40,23:25,LTER 3 Forereef Fish Transect 3 Swath 5 m,3,FO,3,5,Acanthuridae,1,160,0,104.2,Primary Consumer,Herbivore/Detritivore,40,1,0,1,34,1,CK,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2007,7/15/07,21:15,22:45,LTER 1 Forereef Fish Transect 1 Swath 5 m,1,FO,1,5,Acanthuridae,8,80,0,105.42,Primary Consumer,Herbivore/Detritivore,10,1,0,1,23,0,GB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2011,8/2/11,11:50,12:45,LTER 3 Forereef Fish Transect 2 Swath 5 m,3,FO,2,5,Acanthuridae,3,120,0,132.5,Primary Consumer,Herbivore/Detritivore,5,2,0,1,46.8,0.5,AB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2006,7/13/06,21:40,23:25,LTER 3 Forereef Fish Transect 2 Swath 5 m,3,FO,2,5,Acanthuridae,1,50,0,3.24,Primary Consumer,Herbivore/Detritivore,40,1,0,1,34,1,AB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2010,8/5/10,21:30,22:40,LTER 3 Forereef Fish Transect 4 Swath 5 m,3,FO,4,5,Acanthuridae,2,80,0,26.35,Primary Consumer,Herbivore/Detritivore,15,1,0,1,38,0,KS,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2009,8/4/09,19:15,20:45,LTER 2 Forereef Fish Transect 3 Swath 5 m,2,FO,3,5,Acanthuridae,2,60,0,11.17,Primary Consumer,Herbivore/Detritivore,80,1,0,1,38,0,YR,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2006,7/13/06,19:40,21:05,LTER 4 Forereef Fish Transect 3 Swath 5 m,4,FO,3,5,Acanthuridae,2,120,0,88.3,Primary Consumer,Herbivore/Detritivore,40,1,0,1,32,1,CK,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2006,7/13/06,19:40,21:05,LTER 4 Forereef Fish Transect 3 Swath 5 m,4,FO,3,5,Acanthuridae,4,150,0,343.8,Primary Consumer,Herbivore/Detritivore,40,1,0,1,32,1,CK,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2007,7/14/07,19:40,20:45,LTER 4 Forereef Fish Transect 2 Swath 5 m,4,FO,2,5,Acanthuridae,2,120,0,88.3,Primary Consumer,Herbivore/Detritivore,10,1,0,1,51,1,AB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2008,7/26/08,21:10,22:00,LTER 1 Forereef Fish Transect 3 Swath 5 m,1,FO,3,5,Acanthuridae,4,80,0,52.71,Primary Consumer,Herbivore/Detritivore,15,2,0,1,29,0,YR,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2006,7/13/06,19:40,21:05,LTER 4 Forereef Fish Transect 2 Swath 5 m,4,FO,2,5,Acanthuridae,2,70,0,17.7,Primary Consumer,Herbivore/Detritivore,40,1,0,1,32,1,AB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2008,7/23/08,21:30,22:30,LTER 3 Forereef Fish Transect 3 Swath 5 m,3,FO,3,5,Acanthuridae,2,50,0,6.49,Primary Consumer,Herbivore/Detritivore,60,2,0,2,35,1,YR,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2009,8/4/09,19:15,20:45,LTER 2 Forereef Fish Transect 2 Swath 5 m,2,FO,2,5,Acanthuridae,7,70,0,61.94,Primary Consumer,Herbivore/Detritivore,80,1,0,1,38,0,AB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2009,8/4/09,19:15,20:45,LTER 2 Forereef Fish Transect 4 Swath 5 m,2,FO,4,5,Acanthuridae,1,90,0,18.72,Primary Consumer,Herbivore/Detritivore,80,1,0,1,38,0,KS,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2009,8/7/09,21:25,22:50,LTER 3 Forereef Fish Transect 3 Swath 5 m,3,FO,3,5,Acanthuridae,5,50,0,16.21,Primary Consumer,Herbivore/Detritivore,55,1,0,1,33.7,0,YR,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2011,8/3/11,11:45,12:55,LTER 6 Forereef Fish Transect 2 Swath 5 m,6,FO,2,5,Acanthuridae,1,120,0,44.2,Primary Consumer,Herbivore/Detritivore,15,3,1,1.5,51,1,AB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2012,7/30/12,21:30,22:50,LTER 6 Forereef Fish Transect 4 Swath 5 m,6,FO,4,5,Acanthuridae,4,100,0,102.6,Primary Consumer,Herbivore/Detritivore,30,0,0,1,51,0.5,KS,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2009,8/7/09,19:30,20:55,LTER 4 Forereef Fish Transect 2 Swath 5 m,4,FO,2,5,Acanthuridae,1,110,0,34.1,Primary Consumer,Herbivore/Detritivore,90,1,0,1,30.9,0.5,AB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2007,7/16/07,19:30,20:10,LTER 2 Backreef Fish Transect 3 Swath 5 m,2,BA,3,5,Acanthuridae,3,130,0,168.2,Primary Consumer,Herbivore/Detritivore,95,3,2,0,9,0,CK,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2007,7/14/07,21:55,22:55,LTER 3 Forereef Fish Transect 1 Swath 5 m,3,FO,1,5,Acanthuridae,2,70,0,17.7,Primary Consumer,Herbivore/Detritivore,10,1,0,1,49,0,GB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2009,8/4/09,19:15,20:45,LTER 2 Forereef Fish Transect 1 Swath 5 m,2,FO,1,5,Acanthuridae,1,150,0,85.9,Primary Consumer,Herbivore/Detritivore,80,1,0,1,38,0,GB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2007,7/14/07,19:40,20:45,LTER 4 Forereef Fish Transect 3 Swath 5 m,4,FO,3,5,Acanthuridae,7,190,0,1217.7,Primary Consumer,Herbivore/Detritivore,10,1,0,1,51,1,CK,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2012,7/29/12,21:10,22:15,LTER 3 Forereef Fish Transect 1 Swath 5 m,3,FO,1,5,Acanthuridae,1,120,0,44.2,Primary Consumer,Herbivore/Detritivore,15,2,1,1,51,0,GB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2007,7/14/07,21:55,22:55,LTER 3 Forereef Fish Transect 2 Swath 5 m,3,FO,2,5,Acanthuridae,1,60,0,5.59,Primary Consumer,Herbivore/Detritivore,10,1,0,1,49,0,AB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2008,7/23/08,21:30,22:30,LTER 3 Forereef Fish Transect 3 Swath 5 m,3,FO,3,5,Acanthuridae,1,80,0,13.18,Primary Consumer,Herbivore/Detritivore,60,2,0,2,35,1,YR,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2007,7/14/07,21:55,22:55,LTER 3 Forereef Fish Transect 3 Swath 5 m,3,FO,3,5,Acanthuridae,2,240,0,698.4,Primary Consumer,Herbivore/Detritivore,10,1,0,1,49,0,CK,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2007,7/14/07,19:40,20:45,LTER 4 Forereef Fish Transect 1 Swath 5 m,4,FO,1,5,Acanthuridae,1,100,0,25.6,Primary Consumer,Herbivore/Detritivore,10,1,0,1,51,1,GB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2007,7/15/07,21:15,22:45,LTER 1 Forereef Fish Transect 2 Swath 5 m,1,FO,2,5,Acanthuridae,1,100,0,25.6,Primary Consumer,Herbivore/Detritivore,10,1,0,1,23,0,AB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2006,7/13/06,19:40,21:05,LTER 4 Forereef Fish Transect 3 Swath 5 m,4,FO,3,5,Acanthuridae,1,130,0,56.1,Primary Consumer,Herbivore/Detritivore,40,1,0,1,32,1,CK,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2010,8/4/10,19:40,20:45,LTER 5 Forereef Fish Transect 1 Swath 5 m,5,FO,1,5,Acanthuridae,1,45,0,2.37,Primary Consumer,Herbivore/Detritivore,85,1,0,0,43,1,GB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2011,7/29/11,13:50,14:40,LTER 1 Fringing Reef Fish Transect 2 Swath 5 m,1,FR,2,5,Acanthuridae,1,90,0,18.72,Primary Consumer,Herbivore/Detritivore,70,1,0,0,27.3,0,AB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2006,7/13/06,21:40,23:25,LTER 3 Forereef Fish Transect 3 Swath 5 m,3,FO,3,5,Acanthuridae,3,130,0,168.2,Primary Consumer,Herbivore/Detritivore,40,1,0,1,34,1,CK,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2008,7/23/08,21:30,22:30,LTER 3 Forereef Fish Transect 3 Swath 5 m,3,FO,3,5,Acanthuridae,1,100,0,25.6,Primary Consumer,Herbivore/Detritivore,60,2,0,2,35,1,YR,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2010,8/3/10,20:20,21:15,LTER 2 Backreef Fish Transect 3 Swath 5 m,2,BA,3,5,Acanthuridae,1,150,0,85.9,Primary Consumer,Herbivore/Detritivore,25,1,0,0,14,0,TA,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus nigricans,2008,7/23/08,21:30,22:30,LTER 3 Forereef Fish Transect 3 Swath 5 m,3,FO,3,5,Acanthuridae,1,90,0,18.72,Primary Consumer,Herbivore/Detritivore,60,2,0,2,35,1,YR,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
